acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp,label
-1.209071838,9.083601099,2.449268298,-7.435114504,5.786259542,2.213740458,33.84764706,0
-1.647210742,8.951920007,2.367865442,-1.732824427,2.167938931,0.328244275,33.84764706,0
-1.429338391,8.887276563,2.233790149,-1.549618321,1.091603053,-0.458015267,33.98882353,0
-1.446097803,9.006986646,2.140416284,-0.389312977,-0.79389313,-0.534351145,34.03588235,0
-1.441309399,8.899247571,2.42293208,-2.519083969,0.229007634,-0.221374046,34.17705882,0
-1.391031165,8.983044629,2.432508887,-1.65648855,0.603053435,-0.221374046,34.08294118,0
-1.453280408,8.944737402,2.458845105,-0.824427481,-1.122137405,-1.938931298,33.98882353,0
-1.426944189,9.004592444,2.410961072,-2.175572519,-0.496183206,-0.648854962,34.17705882,0
-1.403002173,8.956708411,2.305616199,-1.511450382,-0.732824428,0.167938931,34.13,0
-1.412578979,8.887276563,2.348711829,-1.79389313,-0.893129771,-0.534351145,34.22411765,0
-1.436520996,8.973467822,2.387019055,-0.870229008,-0.473282443,0.038167939,34.13,0
-1.321599316,9.016563452,2.274491577,-1.847328244,-0.229007634,-1.58778626,34.17705882,0
-1.7310078,8.836998328,2.856282581,-0.015267176,-0.328244275,-0.549618321,34.45941176,0
-1.824381665,8.832209924,2.545036365,-1.961832061,-1,-0.496183206,34.45941176,0
-1.826775867,8.712499841,2.89937821,-1.664122137,0.083969466,0.045801527,34.60058824,0
-1.735796204,8.832209924,2.896984009,-4.954198473,-12.13740458,-3.251908397,34.50647059,0
-0.921767639,9.021351855,2.722207288,3.916030534,3.992366412,4.526717557,34.55352941,0
-1.228225452,8.801085303,2.851494177,-1.541984733,0.72519084,0.091603053,34.55352941,0
-1.086967554,8.853757739,2.803610144,-4.167938931,-2.916030534,-1.832061069,34.60058824,0
-0.586579407,8.832209924,3.411737366,-3.419847328,4.954198473,2.022900763,34.50647059,0
-1.031900916,8.73883606,3.536235852,-0.053435115,-0.213740458,0.305343512,34.55352941,0
-0.950498059,8.62391438,3.469198206,-0.679389313,-2.664122137,-0.526717557,34.60058824,0
-0.967257471,8.865728748,3.473986609,-1.458015267,0.396946565,-0.847328244,34.55352941,0
-0.893037219,8.777143286,3.509899634,0.694656489,-3.404580153,-3.717557252,34.50647059,0
-1.221042847,8.750807068,3.093308545,-0.396946565,1.854961832,-0.190839695,34.60058824,0
-1.505952844,8.920795386,2.568978381,-1.534351145,-0.221374046,-0.595419847,34.17705882,0
-1.252167468,8.767566479,3.315969299,-2.381679389,-0.435114504,-0.641221374,34.55352941,0
-1.424549988,8.628702783,3.512293835,-1.603053435,-1.27480916,0.015267176,34.64764706,0
-1.177947217,8.686163623,3.481169214,-1.755725191,-1.671755725,-0.282442748,34.55352941,0
-1.201889233,8.583212952,3.378218542,-2.190839695,-1.679389313,0.251908397,34.50647059,1
-2.042254016,8.391676819,4.094084839,-2.114503817,-1.27480916,-0.824427481,34.13,1
-1.850717883,8.286331946,4.141968872,-2.870229008,0.282442748,-0.854961832,34.17705882,1
-3.076549133,7.007828259,5.973533142,-3.435114504,-1.633587786,0.641221374,34.22411765,1
-2.856282581,7.031770276,5.944802722,-6.473282443,-0.458015267,-0.030534351,33.56529412,1
-2.978386865,6.471527087,6.313509778,0.610687023,1.763358779,-2.305343511,34.31823529,1
